Name,Http Method,Description,Success Response,Error Response
/api/hotels/post,POST,Create a new Hotel,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Hoteladded successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Hotel already exist""
}"
/api/hotels/all,GET,Get a list of all hotels,{list of all hotels},"{
  ""code"": GETFAILS"",
  ""message"":Hotel list is empty""
}"
/api/hotels/{hotel_id},GET,Get details of a specific hotel by ID.,{Object of hotel},"{
  ""code"": GETFAILS"",
  ""message"":Hotel doesn't exist exist""
}"
/api/hotels/{amenity_id},GET,Get List of hotel which provide spacific amenity,{List of hotel},"{
  ""code"": GETFAILS"",
  ""message"":No hotel is found with the spacific amenity""
}"
/api/hotels/update/{hotel_id},PUT,Update hotel details.,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Hotel updated successfully""
}","{
  ""code"": UPDTFAILS"",
  ""message"":Hotel doesn't exist exist""
}"
/api/users/delete/{userId},DELETE,Delete a user,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""User deleted successfully""
}","{
  ""code"": DLTFAILS"",
  ""message"":User doesn't exist exist""
}"
/api/RoomType/post,POST,Create a new roomType,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""roomType added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":RoomType already exist""
}"
/api/RoomType/update/{RoomType_id},PUT,Update RoomType details.,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""RoomType updated successfully""
}","{
  ""code"": UPDTFAILS"",
  ""message"":RoomType doesn't exist exist""
}"
/api/projects/delete/{projectId},DELETE,Delete a project.,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""Proejct deleted successfully""
}","{
  ""code"": DLTFAILS"",
  ""message"":Project doesn't exist exist""
}"
/api/RoomType/{RoomType_id},GET,Get a Room Type by Id,{Get a RoomType Object},"{
  ""code"": GETFAILS"",
  ""message"":RoomType doesn't exist ""
}"
/api/rooms/post,POST,Create a new room.,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": "" room added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Room already exist""
}"
/api/room/all,GET,Get all rooms ,{List of all rooms},"{
  ""code"": GETALLFAILS"",
  ""message"":room list is empty""
}"
/api/room/{room_id},GET,Get all a room ,{get a room object},"{
  ""code"": GETALLFAILS"",
  ""message"":room doesn't exist""
}"
/api/rooms/available/{roomTypeId},GET,Retrieve a list of available rooms of a specific type,{List of rooms},"{
  ""code"": GETALLFAILS"",
  ""message"": No room found with given type
}"
/api/rooms/location/{location},GET,Retrieve rooms based on their location.,{List of rooms},
/api/rooms/amenities/{amenityId},GET,Retrieve rooms that have a specific amenity.,{List of rooms},
/api/rooms/{amenity_id},GET,Get all rooms which  provides a specific amenity,{List of rooms},"{
  ""code"": GETALLFAILS"",
  ""message"": amenity does't exist with given id""
}"
/api/room/update/{room_id},PUT,Update room details.,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Room updated successfully""
}","{
  ""code"": UPDTFAILS"",
  ""message"":Room doesn't exist exist""
}"
/api/tasks/{taskId},DELETE,Delete a task.,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""task deleted successfully""
}","{
  ""code"": DLTFAILS"",
  ""message"":Task doesn't exist exist""
}"
,,,,
/api/reservation/post,POST,Create a new reservation.,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Reservation added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":reservation already exist""
}"
/api/reservation/all,GET,Get a list of all reservation.,{List of reservations},"{
  ""code"": GETALLFAILS"",
  ""message"":reservation list is empty""
}"
/api/reservation/{reservation_id},GET,Get reservation By Id,{Object of reservation},"{
  ""code"":GETFAILS"",
  ""message"":Reservation doesn't exist""
}"
/api/reservations/date-range?startDate={startDate}&endDate={endDate},GET,Retrieve reservations within a specified date range.,{List of Object of reservation},
/api/reservation/update/{reservation_id},PUT,Update reservation details.,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Reservation updated successfully""
}","{
  ""code"": UPDTFAILS"",
  ""message"":Reservation doesn't  exist""
}"
/api/reservation/{reservation_id},DELETE,Delete a reservation.,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""reservation deleted successfully""
}","{
  ""code"": DLTFAILS"",
  ""message"":Reservation doesn't exist exist""
}"
,,,,
/api/amenity/post,POST,Create a new amenity,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Amenity added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Amenity already exist""
}"
/api/amenity/all,GET,Get a list of all amenities.,{List of amenity},"{
  ""code"": GETALLFAILS"",
  ""message"":Amenity list is empty""
}"
/api/amenity/{amenity_id},GET,Get amenity By Id,{Object of amanity},"{
  ""code"":GETFAILS"",
  ""message"":Amanity doesn't exist""
}"
/api/amenity/{hotel_id},GET,Get all amenities which is provided by a specific hotel,{List of amenity},"{
  ""code"": GETALLFAILS"",
  ""message"":hotel not found with given hotel id""
}"
/api/amenity/{room_id},GET,Get all amenities which is provided by a room,{List of amenity},"{
  ""code"": GETALLFAILS"",
  ""message"":room not found with given hotel id""
}"
/api/amenity/{amenity_id},DELETE,Delete a amenity.,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""Amanity deleted successfully""
}","{
  ""code"": DLTFAILS"",
  ""message"":Amenity doesn't exist exist""
}"
/api/amenity/update/{amenity_id},PUT,Update amenity details.,"{
  ""code"": ""UPDATESUCCESS"",
  ""message"": ""Amenity updated successfully""
}","{
  ""code"": UPDTFAILS"",
  ""message"":Amenity doesn't  exist""
}"
/api/payment/post,POST,Create a new payment,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Payment added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Payment already exist""
}"
/api/payment/all,GET,Get a list of all payments.,{List of payment},"{
  ""code"": GETALLFAILS"",
  ""message"":Payment list is empty""
}"
/api/payment/{payment_id},GET,Get payment By Id,{Object of payment},"{
  ""code"":GETFAILS"",
  ""message"":Payment doesn't exist""
}"
/api/payments/status/{status},GET,"Retrieve payments based on their status (e.g., ""Paid,"" ""Pending"").",{List of payment},"{
  ""code"": GETALLFAILS"",
  ""message"":Payment list is empty""
}"
/api/payments/total-revenue,GET,Retrieve the total revenue generated through payments.,{Amount of revenew},
/api/payment/{payment_id},DELETE,Delete a payment.,"{
  ""code"": ""DELETESUCCESS"",
  ""message"": ""Payment deleted successfully""
}","{
  ""code"": DLTFAILS"",
  ""message"":Payment doesn't exist exist""
}"
/api/review/post,POST,Upload a new review.,"{
  ""code"": ""POSTSUCCESS"",
  ""message"": ""Review added successfully""
}","{
  ""code"": ADDFAILS"",
  ""message"":Review already exist""
}"
/api/review/all,GET,Get a list of all reviews.,{List of object of Review},"{
  ""code"": GETALLFAILS"",
  ""message"":Review list is empty""
}"
/api/review/{review_id},GET,Get details of a specific review by ID.,{Object of Review},"{
  ""code"": GETFAILS"",
  ""message"":Review doesn't exist""
}"
/api/reviews/rating/{rating},GET,Retrieve reviews with a specific rating.,{List of Reviews},"{
  ""code"": GETALLFAILS"",
  ""message"":Review list is empty""
}"
/api/reviews/recent,GET,Retrieve the most recent reviews.,{Object  of Reviews},"{
  ""code"": GETFAILS"",
  ""message"":Review doesn't exist""
}"
